7	5	5	2	2	0.26676	1
5	5	2	2	2	0.23132	1
5	2	2	2	2	0.15507	1
2	2	2	2	3	0.094947	1
2	2	3	3	3	0.063837	1
2	3	3	3	2	0.10354	1
3	3	2	3	4	0.17129	1
3	2	4	3	1	0.14028	1
2	4	1	4	8	0.22103	1
4	1	8	4	1	0.41291	1
1	8	1	4	1	0.47587	1
8	1	1	4	1	0.28649	1
1	1	1	5	2	0.17319	1
1	1	2	5	2	0.28726	1
1	2	2	5	2	0.37013	1
2	2	2	5	1	0.40727	1
2	2	1	5	2	0.3582	1
2	1	2	6	2	0.25969	1
1	2	2	6	1	0.3196	1
2	2	1	6	4	0.1871	1
2	1	4	6	2	0.11901	1
1	4	2	7	3	0.22021	1
4	2	3	7	2	0.27525	1
2	3	2	7	2	0.27818	1
3	2	2	7	3	0.15295	1
2	2	3	8	2	0.12556	1
2	3	2	8	3	0.18658	1
3	2	3	8	3	0.20346	1
2	3	3	8	4	0.13244	1
3	3	4	9	4	0.076307	1
3	4	4	9	4	0.076942	1
4	4	4	9	5	0.14676	1
4	4	5	9	6	0.10836	1
4	5	6	9	6	0.12136	1
5	6	6	10	13	0.26195	1
6	6	13	10	7	0.33606	1
6	13	7	10	7	0.42578	1
13	7	7	10	7	0.24264	1
7	7	7	11	7	0.24847	1
7	7	7	11	8	0.38429	1
7	7	8	11	8	0.42612	1
7	8	8	11	8	0.22166	1
8	8	8	12	9	0.146	1
8	8	9	12	8	0.24689	1
8	9	8	12	8	0.28571	1
9	8	8	12	8	0.30042	1
8	8	8	13	8	0.29202	1
8	8	8	13	8	0.26657	1
8	8	8	13	8	0.21075	1
8	8	8	1	7	0.17605	1
8	8	7	1	7	0.11696	1
8	7	7	1	4	0.081707	1
7	7	4	2	3	0.13811	1
7	4	3	2	2	0.21151	1
4	3	2	2	3	0.20868	1
3	2	3	2	3	0.14685	1
2	3	3	3	2	0.2488	1
3	3	2	3	2	0.28339	1
3	2	2	3	4	0.24463	1
2	2	4	3	2	0.28506	1
2	4	2	4	3	0.15861	1
4	2	3	4	3	0.18992	1
2	3	3	4	3	0.2864	1
3	3	3	4	2	0.15237	1
3	3	2	5	1	0.18211	1
3	2	1	5	2	0.29823	1
2	1	2	5	2	0.22857	1
1	2	2	5	1	0.2111	1
2	2	1	5	1	0.10978	1
2	1	1	6	2	0.1956	1
1	1	2	6	2	0.32601	1
1	2	2	6	2	0.19682	1
2	2	2	6	2	0.17963	1
2	2	2	7	3	0.20136	1
2	2	3	7	2	0.33651	1
2	3	2	7	3	0.42368	1
3	2	3	7	3	0.25793	1
2	3	3	8	2	0.2301	1
3	3	2	8	3	0.20693	1
3	2	3	8	3	0.32258	1
2	3	3	8	3	0.2374	1
3	3	3	9	4	0.18152	1
3	3	4	9	4	0.43225	1
3	4	4	9	4	0.55451	1
4	4	4	9	5	0.52436	1
4	4	5	9	5	0.31525	1
